Universidade	ODS	Indicador	Ano	Valor	Overall	Percentil_ranking_metrica
Universidade Federal Fluminense	ODS 1	Co-authorship with Low or Lower-middle Income Countries (THE)	2019	0	0	56th
Universidade Federal Fluminense	ODS 1	Co-authorship with Low or Lower-middle Income Countries (THE)	2020	0	0	56th
Universidade Federal Fluminense	ODS 1	Co-authorship with Low or Lower-middle Income Countries (THE)	2021	0	0	56th
Universidade Federal Fluminense	ODS 1	Co-authorship with Low or Lower-middle Income Countries (THE)	2022	0	0	56th
Universidade Federal Fluminense	ODS 1	Co-authorship with Low or Lower-middle Income Countries (THE)	2023	0	0	56th
Universidade Federal Fluminense	ODS 1	Co-authorship with Low or Lower-middle Income Countries (THE) Median	2019	0	0.043	
Universidade Federal Fluminense	ODS 1	Co-authorship with Low or Lower-middle Income Countries (THE) Median	2020	0	0.043	
Universidade Federal Fluminense	ODS 1	Co-authorship with Low or Lower-middle Income Countries (THE) Median	2021	0	0.043	
Universidade Federal Fluminense	ODS 1	Co-authorship with Low or Lower-middle Income Countries (THE) Median	2022	0	0.043	
Universidade Federal Fluminense	ODS 1	Co-authorship with Low or Lower-middle Income Countries (THE) Median	2023	0	0.043	
Universidade Federal Fluminense	ODS 1	Field-Weighted Citation Impact - 5 Year (THE)	2019	0.66	0.72	47th
Universidade Federal Fluminense	ODS 1	Field-Weighted Citation Impact - 5 Year (THE)	2020	0.96	0.72	47th
Universidade Federal Fluminense	ODS 1	Field-Weighted Citation Impact - 5 Year (THE)	2021	0.77	0.72	47th
Universidade Federal Fluminense	ODS 1	Field-Weighted Citation Impact - 5 Year (THE)	2022	0.64	0.72	47th
Universidade Federal Fluminense	ODS 1	Field-Weighted Citation Impact - 5 Year (THE)	2023	0.55	0.72	47th
Universidade Federal Fluminense	ODS 1	Field-Weighted Citation Impact - 5 Year (THE) Median	2019	0.78	1.01	
Universidade Federal Fluminense	ODS 1	Field-Weighted Citation Impact - 5 Year (THE) Median	2020	0.84	1.01	
Universidade Federal Fluminense	ODS 1	Field-Weighted Citation Impact - 5 Year (THE) Median	2021	0.95	1.01	
Universidade Federal Fluminense	ODS 1	Field-Weighted Citation Impact - 5 Year (THE) Median	2022	0.91	1.01	
Universidade Federal Fluminense	ODS 1	Field-Weighted Citation Impact - 5 Year (THE) Median	2023	0.93	1.01	
Universidade Federal Fluminense	ODS 1	Scholarly Output (THE)	2019	5	67	90th
Universidade Federal Fluminense	ODS 1	Scholarly Output (THE)	2020	12	67	90th
Universidade Federal Fluminense	ODS 1	Scholarly Output (THE)	2021	20	67	90th
Universidade Federal Fluminense	ODS 1	Scholarly Output (THE)	2022	19	67	90th
Universidade Federal Fluminense	ODS 1	Scholarly Output (THE)	2023	11	67	90th
Universidade Federal Fluminense	ODS 1	Scholarly Output (THE) Median	2019	3	10	
Universidade Federal Fluminense	ODS 1	Scholarly Output (THE) Median	2020	3	10	
Universidade Federal Fluminense	ODS 1	Scholarly Output (THE) Median	2021	3	10	
Universidade Federal Fluminense	ODS 1	Scholarly Output (THE) Median	2022	4	10	
Universidade Federal Fluminense	ODS 1	Scholarly Output (THE) Median	2023	4	10	
Universidade Federal Fluminense	ODS 2	Field-Weighted Citation Impact - 5 Year (THE)	2019	0.73	1.05	46th
Universidade Federal Fluminense	ODS 2	Field-Weighted Citation Impact - 5 Year (THE)	2020	1.38	1.05	46th
Universidade Federal Fluminense	ODS 2	Field-Weighted Citation Impact - 5 Year (THE)	2021	1.37	1.05	46th
Universidade Federal Fluminense	ODS 2	Field-Weighted Citation Impact - 5 Year (THE)	2022	0.92	1.05	46th
Universidade Federal Fluminense	ODS 2	Field-Weighted Citation Impact - 5 Year (THE)	2023	0.88	1.05	46th
Universidade Federal Fluminense	ODS 2	Field-Weighted Citation Impact - 5 Year (THE) Median	2019	1.18	1.3	
Universidade Federal Fluminense	ODS 2	Field-Weighted Citation Impact - 5 Year (THE) Median	2020	1.23	1.3	
Universidade Federal Fluminense	ODS 2	Field-Weighted Citation Impact - 5 Year (THE) Median	2021	1.19	1.3	
Universidade Federal Fluminense	ODS 2	Field-Weighted Citation Impact - 5 Year (THE) Median	2022	1.14	1.3	
Universidade Federal Fluminense	ODS 2	Field-Weighted Citation Impact - 5 Year (THE) Median	2023	1.15	1.3	
Universidade Federal Fluminense	ODS 2	Output in Top 10% Journals (THE)	2019	3	29	85th
Universidade Federal Fluminense	ODS 2	Output in Top 10% Journals (THE)	2020	4	29	85th
Universidade Federal Fluminense	ODS 2	Output in Top 10% Journals (THE)	2021	8	29	85th
Universidade Federal Fluminense	ODS 2	Output in Top 10% Journals (THE)	2022	5	29	85th
Universidade Federal Fluminense	ODS 2	Output in Top 10% Journals (THE)	2023	9	29	85th
Universidade Federal Fluminense	ODS 2	Output in Top 10% Journals (THE) Median	2019	1	3	
Universidade Federal Fluminense	ODS 2	Output in Top 10% Journals (THE) Median	2020	1	3	
Universidade Federal Fluminense	ODS 2	Output in Top 10% Journals (THE) Median	2021	1	3	
Universidade Federal Fluminense	ODS 2	Output in Top 10% Journals (THE) Median	2022	1	3	
Universidade Federal Fluminense	ODS 2	Output in Top 10% Journals (THE) Median	2023	1	3	
Universidade Federal Fluminense	ODS 2	Scholarly Output (THE)	2019	24	132	86th
Universidade Federal Fluminense	ODS 2	Scholarly Output (THE)	2020	21	132	86th
Universidade Federal Fluminense	ODS 2	Scholarly Output (THE)	2021	30	132	86th
Universidade Federal Fluminense	ODS 2	Scholarly Output (THE)	2022	20	132	86th
Universidade Federal Fluminense	ODS 2	Scholarly Output (THE)	2023	37	132	86th
Universidade Federal Fluminense	ODS 2	Scholarly Output (THE) Median	2019	5	23	
Universidade Federal Fluminense	ODS 2	Scholarly Output (THE) Median	2020	6	23	
Universidade Federal Fluminense	ODS 2	Scholarly Output (THE) Median	2021	7	23	
Universidade Federal Fluminense	ODS 2	Scholarly Output (THE) Median	2022	7	23	
Universidade Federal Fluminense	ODS 2	Scholarly Output (THE) Median	2023	8	23	
Universidade Federal Fluminense	ODS 3	Clinical Citations (THE)	2019	0	5	88th
Universidade Federal Fluminense	ODS 3	Clinical Citations (THE)	2020	3	5	88th
